,head_actual,word_count,len_text,end_sym,len_avg_word,no_of_stop,numeric_value,no_of_sym,cos_sim,case
0,0,2,18,0,9,0,0,0,0,2
1,0,3,38,0,12,0,3,6,0,2
2,0,4,28,0,7,0,10,2,0,2
3,1,2,21,1,10,0,0,1,1,0
4,0,16,123,1,7,4,1,4,1,1
5,0,9,66,1,7,2,0,4,1,3
6,0,14,101,1,7,2,1,7,0,3
7,0,17,129,1,7,3,1,6,1,3
8,0,5,34,1,6,1,0,2,0,3
9,0,15,94,1,6,4,0,3,1,3
10,0,14,101,1,7,4,0,4,1,3
11,1,2,17,1,8,0,0,1,1,0
12,0,11,90,1,8,0,0,6,0,3
13,0,13,90,0,6,0,1,12,0,3
14,0,7,45,0,6,0,0,5,0,3
15,0,4,24,0,6,0,0,3,0,3
16,0,6,43,1,7,0,0,5,0,3
17,1,2,18,0,9,0,0,0,0,0
18,0,15,82,1,5,3,4,3,1,3
19,0,11,63,1,5,2,8,3,0,3
20,0,10,52,0,5,2,8,2,0,3
21,1,2,15,0,7,0,0,0,1,0
22,0,8,52,1,6,1,4,4,1,2
23,0,4,30,1,7,0,0,4,0,2
24,1,2,16,1,8,0,0,1,1,2
25,0,54,386,1,7,20,0,11,1,2
26,0,13,80,1,6,6,0,3,1,2
27,0,85,517,1,6,40,0,14,1,2
28,0,20,152,1,7,0,0,14,0,2
29,1,1,17,1,17,0,0,1,1,2
30,0,23,151,1,6,11,0,3,1,3
31,0,13,79,1,6,4,0,4,0,3
32,0,13,79,1,6,3,0,3,1,3
33,0,23,146,1,6,6,0,2,1,3
34,0,12,90,1,7,3,0,3,1,3
35,0,14,91,1,6,1,0,8,0,3
36,0,1,1,1,1,0,0,1,0,3
37,0,8,58,1,7,1,8,4,0,2
38,0,3,25,0,8,0,0,1,0,2
39,1,2,16,1,8,0,0,1,1,2
40,0,73,447,1,6,35,0,5,1,2
41,0,9,78,0,8,0,1,8,0,2
42,1,1,17,1,17,0,0,1,1,2
43,0,5,33,1,6,1,0,3,0,3
44,0,13,81,1,6,5,0,2,1,3
45,0,9,49,1,5,2,1,2,1,3
46,0,10,47,1,4,4,0,2,1,3
47,0,8,56,1,7,3,0,2,1,3
48,0,6,47,1,7,1,8,5,0,2
49,1,4,22,0,5,0,1,3,1,2
50,1,2,16,1,8,0,0,1,1,2
51,0,58,360,1,6,24,0,8,1,2
52,0,11,86,1,7,1,0,9,1,2
53,1,1,17,1,17,0,0,1,1,2
54,0,9,61,1,6,1,0,4,1,3
55,0,8,52,1,6,2,0,2,0,3
56,0,8,59,1,7,3,0,2,1,3
57,0,7,49,1,7,2,0,4,0,3
58,1,2,25,0,12,0,0,0,1,0
59,0,13,94,0,7,3,4,5,1,3
60,0,13,95,1,7,3,4,6,1,3
61,0,10,69,1,6,1,4,4,0,3
62,0,11,76,1,6,1,4,4,0,3
63,1,2,16,0,8,0,0,0,1,0
64,0,5,27,0,5,0,0,2,1,3
65,0,7,32,1,4,1,6,4,1,3
66,0,9,71,1,7,0,8,10,1,3
67,0,6,36,1,6,1,0,3,1,3
68,0,5,28,0,5,0,7,2,0,3
69,1,2,6,1,3,0,0,1,1,2
70,0,2,11,0,5,0,0,1,0,2
71,0,2,19,1,9,0,0,1,0,2
72,0,2,18,0,9,0,0,0,0,0
73,0,3,17,0,5,0,0,0,0,0
74,0,2,19,1,9,0,0,2,0,2
75,0,6,31,0,5,0,5,5,0,2
76,0,4,28,0,7,0,6,2,0,2
77,0,2,29,0,14,0,20,2,0,2
78,0,2,25,0,12,0,2,3,0,2
79,1,2,15,0,7,0,0,0,1,0
80,0,11,82,0,7,3,0,1,0,3
81,0,11,63,0,5,5,0,1,1,3
82,0,11,83,0,7,2,0,1,1,3
83,0,13,83,0,6,5,0,1,1,3
84,1,2,17,1,8,0,0,1,1,0
85,0,18,97,1,5,9,0,2,1,3
86,0,22,121,0,5,10,0,1,1,3
87,1,3,18,1,6,0,0,2,1,0
88,0,16,128,1,8,4,0,4,1,2
89,1,2,21,1,10,0,0,1,1,0
90,0,3,15,0,5,0,0,1,0,2
91,0,3,17,0,5,0,0,1,0,2
92,0,3,15,0,5,1,0,0,0,2
93,0,2,7,0,3,0,0,1,0,3
94,0,6,16,1,2,0,0,3,0,0
95,0,2,17,0,8,0,0,0,0,2
96,0,1,4,0,4,0,4,0,0,3
97,0,1,3,1,3,0,2,1,0,3
98,0,1,5,0,5,0,0,2,0,0
99,0,1,7,0,7,0,0,0,0,0
100,0,1,4,0,4,0,4,0,0,3
101,0,1,3,1,3,0,2,1,0,3
102,0,1,5,0,5,0,0,2,0,0
103,0,1,7,0,7,0,0,0,0,0
104,0,1,4,0,4,0,4,0,0,3
105,0,1,3,1,3,0,2,1,0,3
106,1,2,20,0,10,0,0,0,1,0
107,0,18,105,1,5,1,0,7,1,3
108,0,4,13,0,3,0,1,1,0,3
109,0,4,22,0,5,0,0,3,0,3
110,1,1,10,0,10,0,0,0,1,0
111,0,9,63,1,7,2,0,6,1,2
112,0,9,38,0,4,2,6,2,1,3
113,0,6,35,0,5,0,0,2,0,3
114,1,5,40,1,8,2,0,1,1,2
115,0,8,49,1,6,1,0,5,0,3
116,0,8,57,1,7,1,0,4,0,3
117,0,17,114,1,6,3,0,6,1,3
118,0,8,50,1,6,1,0,2,0,3
119,0,5,35,1,7,0,0,2,0,3
120,0,9,57,1,6,3,0,4,1,3
121,0,13,88,1,6,3,0,5,1,3
122,0,6,35,1,5,2,0,2,0,3
123,0,7,55,0,7,0,0,1,0,2
124,0,10,45,0,4,1,12,2,0,3
125,0,6,48,0,8,0,0,2,0,3
126,0,7,42,1,6,0,0,4,0,2
127,0,15,99,1,6,3,0,3,0,3
128,0,6,41,1,6,2,0,1,1,2
129,0,21,119,1,5,7,0,7,1,3
130,0,8,52,1,6,1,0,2,1,3
131,0,14,85,1,6,6,0,2,1,3
132,0,3,26,0,8,0,0,1,0,2
133,0,8,37,0,4,1,8,2,0,3
134,0,4,26,0,6,0,0,2,0,3
135,0,6,41,1,6,2,0,1,1,2
136,0,7,42,1,6,1,0,2,1,3
137,0,10,83,1,8,1,0,5,0,3
138,0,5,42,1,8,1,0,2,0,3
139,0,9,55,1,6,3,0,2,1,3
140,0,11,64,0,5,3,1,2,0,3
141,1,1,12,0,12,0,0,0,0,0
142,0,13,67,0,5,5,0,2,1,3
143,0,11,76,0,6,2,0,2,0,3
144,0,7,46,0,6,2,0,1,1,3
145,0,10,64,0,6,1,0,2,1,3
146,1,2,15,0,7,0,0,0,1,0
147,0,6,44,1,7,0,0,6,0,2
148,1,1,7,0,7,0,0,0,0,0
149,0,6,41,0,6,0,0,2,0,2
150,1,3,13,0,4,0,0,0,1,0
151,0,3,14,0,4,0,5,0,0,3
152,1,1,9,0,9,0,0,0,0,0
153,0,3,20,0,6,1,0,0,0,2
154,1,1,11,0,11,0,0,0,1,0
155,0,30,151,1,5,18,0,2,1,2
156,0,2,14,1,7,0,0,2,0,3
157,0,1,4,0,4,0,0,0,0,0
158,1,2,20,0,10,0,0,0,1,0
159,0,4,35,0,8,0,0,3,0,2
160,0,3,15,0,5,0,12,1,0,3
161,1,2,21,0,10,0,0,0,1,2
162,0,7,37,0,5,1,1,1,0,3
163,0,24,199,1,8,5,0,8,1,3
